"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"pev_score","population_group","1","IDP",0.0401382314954497,NA,0.0220303230280659,0.0582461399628335,NA,NA
"pev_score","population_group","2","IDP",0.341079659014193,NA,0.289103197504967,0.39305612052342,NA,NA
"pev_score","population_group","3","IDP",0.618782109490357,NA,0.565824232213052,0.671739986767662,NA,NA
"pev_score","population_group","1","not_displaced",0.0547362888418379,NA,0.0274846598310388,0.0819879178526369,NA,NA
"pev_score","population_group","2","not_displaced",0.773270928902805,NA,0.734485537289189,0.812056320516421,NA,NA
"pev_score","population_group","3","not_displaced",0.171992782255357,NA,0.138991639019942,0.204993925490772,NA,NA
"edu_score","population_group","1","IDP",0.462442431947589,NA,0.416540175738036,0.508344688157142,NA,NA
"edu_score","population_group","2","IDP",0.497408993307748,NA,0.452059677595042,0.542758309020455,NA,NA
"edu_score","population_group","3","IDP",0.0401250055843094,NA,0.0223419671521945,0.0579080440164243,NA,NA
"edu_score","population_group","4","IDP",2.35691603535341e-05,NA,-2.28523899861089e-05,6.99907106931771e-05,NA,NA
"edu_score","population_group","1","not_displaced",0.619788000360237,NA,0.572576174496063,0.666999826224411,NA,NA
"edu_score","population_group","2","not_displaced",0.351581763134284,NA,0.310205450832144,0.392958075436425,NA,NA
"edu_score","population_group","3","not_displaced",0.0286278401736596,NA,0.0181703412003,0.0390853391470192,NA,NA
"edu_score","population_group","4","not_displaced",2.39633181931884e-06,NA,-2.33664480179178e-06,7.12930844042945e-06,NA,NA
"nut_score","population_group","1","IDP",0.270898876037327,NA,0.230924534063857,0.310873218010798,NA,NA
"nut_score","population_group","2","IDP",0.373147471076388,NA,0.33125626815269,0.415038674000085,NA,NA
"nut_score","population_group","3","IDP",0.333389958010827,NA,0.296921843907765,0.36985807211389,NA,NA
"nut_score","population_group","4","IDP",0.0225636948754576,NA,0.0130497233579205,0.0320776663929947,NA,NA
"nut_score","population_group","1","not_displaced",0.324223910514756,NA,0.290808693725009,0.357639127304503,NA,NA
"nut_score","population_group","2","not_displaced",0.36178639408256,NA,0.335106269563171,0.388466518601948,NA,NA
"nut_score","population_group","3","not_displaced",0.29060055891888,NA,0.249118835339169,0.332082282498591,NA,NA
"nut_score","population_group","4","not_displaced",0.0233891364838045,NA,0.0146335504999669,0.0321447224676421,NA,NA
"health_score","population_group","1","IDP",0.656274202176641,NA,0.607345470248241,0.705202934105042,NA,NA
"health_score","population_group","2","IDP",0.328014348380895,NA,0.279507896626923,0.376520800134866,NA,NA
"health_score","population_group","3","IDP",0.0156737211969726,NA,0.00816841412921242,0.0231790282647328,NA,NA
"health_score","population_group","4","IDP",3.77282454912915e-05,NA,-3.6598726750454e-05,0.000112055217733037,NA,NA
